ID,taxa,tissue_type,species,site,site_type,sample_type,year,Linear.corr.d15N,wt..N,Linear.corr.d13C,wt..C,cal_sample_date,enrich_day,days_since_enrich
N16-NCACH-006,bird,rbc,cach,14,native,enriched,2016,7.34,14.96,-24.50,48.10,184,139,45
N16-NCACH-007,bird,rbc,cach,14,native,enriched,2016,6.95,15.27,-24.47,49.14,184,139,45
N16-NCACH-008,bird,rbc,cach,14,native,enriched,2016,5.37,14.98,-24.15,48.48,153,139,14
N16-NBIRD-014,bird,rbc,cach,3,native,enriched,2015,5.75,13.18,-23.63,44.73,140,128,12
N16-NBIRD-028,bird,rbc,cach,13,nonnative,enriched,2016,4.63,7.99,-27.51,39.97,163,125,38
N16-NCACH-002,bird,rbc,cach,23,nonnative,control,2016,6.55,15.22,-23.72,48.91,117,127,0
N16-NCACH-003,bird,rbc,cach,21,native,control,2016,6.22,15.00,-24.16,48.19,118,144,0
N16-NCACH-004,bird,rbc,cach,14,native,control,2016,6.31,15.48,-24.07,49.39,139,139,0
15-NTUTI-009,bird,rbc,tuti,7,nonnative,control,2015,7.30,15.28,-24.09,48.64,124,135,0
E15-NTUTI-151,bird,rbc,tuti,7,nonnative,enriched,2015,6.29,15.40,-24.04,49.40,168,135,33
E15-NTUTI-152,bird,rbc,tuti,7,nonnative,enriched,2015,6.18,15.37,-24.12,49.13,168,135,33
E16-NTUTI-001,bird,rbc,tuti,10,nonnative,enriched,2016,6.01,15.38,-23.98,50.21,192,131,61
E16-NTUTI-002,bird,rbc,tuti,13,nonnative,enriched,2016,4.81,15.32,-24.47,50.05,146,125,21
N16-NTUTI-006,bird,rbc,tuti,14,native,enriched,2016,5.65,14.95,-24.50,48.44,153,139,14
N16-NBIRD-010,bird,rbc,tuti,18,nonnative,enriched,2016,6.06,14.75,-23.80,47.53,145,129,16
N16-NBIRD-011,bird,rbc,tuti,13,nonnative,enriched,2016,4.13,13.82,-24.70,45.67,146,125,21
N16-NBIRD-016,bird,rbc,tuti,8,nonnative,enriched,2015,5.90,14.46,-24.11,46.46,159,138,21
N16-NBIRD-017,bird,rbc,tuti,1,native,enriched,2015,5.40,14.52,-24.03,46.63,148,130,18
N16-NBIRD-018,bird,rbc,tuti,7,nonnative,enriched,2015,6.61,14.45,-24.13,46.21,168,135,33
N16-NBIRD-022,bird,rbc,tuti,5,nonnative,enriched,2015,6.11,13.84,-23.92,46.05,157,139,18
